Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
04/30/2021,05/01/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
04/29/2021,04/30/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","4.99"
04/29/2021,04/30/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
04/29/2021,04/30/2021,"SQ *SEOUL HOTDOG 1822 ARCH STREET BERKELEY 94709 CA USA","Seoul Hotdog","Restaurants","Purchase","10.90"
04/29/2021,04/29/2021,"PAPA JOHN'S #4764 5412 SAN PABLO AVE STE B 510-350-8846 94608 CA USA","Papa John's","Restaurants","Purchase","21.84"
04/28/2021,04/29/2021,"SQ *HUMPHRY SLOCOMBE I2988 COLLEGE AVENUE BERKELEY 94705 CA USA","Humphry Slocombe I","Restaurants","Purchase","19.98"
04/27/2021,04/29/2021,"SAFEWAY #3125 3889 SAN PABLO AVE EMERYVILLE 94608 CA USA","Safeway","Grocery","Purchase","8.96"
04/26/2021,04/28/2021,"EXTRA SPACE 0802 6942 GARDEN GROVE BLVD WESTMINSTER 92683 CA USA","Extra Space Storage","Other","Purchase","35.20"
04/26/2021,04/27/2021,"BB* MARUFUKU RAMEN OAK393 PITTSBURGH PIKE 4158552268 15679 PA USA","BB* Marufuku Ramen Oak","Restaurants","Purchase","25.67"
04/25/2021,04/27/2021,"CITY OF LA DOT PVB PBP606 S OLIVE ST STE 2 866-5619742 90014 CA USA","City of LA Dot Pvb Pbp","Govt-services-parking","Purchase","65.00"
04/26/2021,04/27/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","3.99"
04/25/2021,04/27/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","49.99"
