Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
12/31/2020,01/01/2021,"APPLE.COM/BILL ONE APPLE PARK 1111111111 95014 CA USA","Apple Services","Other","Purchase","2.99"
12/31/2020,01/01/2021,"AMZN MKTP US*M22GK6RY3440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","16.70"
12/30/2020,12/31/2020,"T-MOBILE STORE # 2SBQ 5739 CHRISTIE AVE EMERYVILLE 94608 CA USA","T-Mobile","Other","Purchase","37.63"
12/30/2020,12/31/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
12/30/2020,12/31/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
12/30/2020,12/31/2020,"GEICO *AUTO ONE GEICO PLAZA 800-841-3000 20076 DC USA","Geico","Insurance","Purchase","415.38"
12/29/2020,12/30/2020,"FASTRAK CSC 375 BEALE ST STE 210 4154868655 94111 CA USA","FasTrak","Tolls","Purchase","25.00"
12/27/2020,12/28/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","35.99"
12/21/2020,12/21/2020,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","1.18"
12/20/2020,12/21/2020,"AIRBNB * HMRM2DP24S 888 BRANNAN ST 4TH FL 415-800-5959 94103 CA USA","Airbnb","Hotels","Purchase","-58.94"
12/14/2020,12/14/2020,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","0.20"
12/12/2020,12/14/2020,"POSTMATES MEMBERSHIP 201 3RD STSUITE 200 8778877815 94103 CA USA (DISPUTE CREDIT)","Postmates Membership 201 3rd Stsuite 200 8778877815 94103 Ca Usa (dispute Credit)","Credit","Credit","-9.99"
12/12/2020,12/14/2020,"AIRBNB * HMRM2DP24S 888 BRANNAN ST 4TH FL 415-800-5959 94103 CA USA","Airbnb","Hotels","Purchase","171.55"
12/13/2020,12/14/2020,"POSTMATES MEMBERSHIP 201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","9.99"
12/13/2020,12/13/2020,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","0.70"
12/07/2020,12/09/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 1111111111 95014 CA USA","Apple Services","Other","Purchase","30.99"
12/08/2020,12/08/2020,"CONTRA COSTA COMM COLL500 COURT STREET 9252291000 94533 CA USA","Contra Costa Comm Coll","Other","Purchase","145.00"
12/08/2020,12/08/2020,"SERVICE DOG CERTIFICAT1507 7TH STREET #263 8778877815 90401 CA USA","Service Dog Certificat","Other","Purchase","76.99"
12/08/2020,12/08/2020,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-811.27"
12/05/2020,12/07/2020,"FASTRAK CSC 375 BEALE ST STE 210 4154868655 94111 CA USA","FasTrak","Tolls","Purchase","25.00"
12/05/2020,12/07/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
12/04/2020,12/04/2020,"UPDATER.COM 19 UNION SQ WFL 12 6464537820 10003 NY USA","updater.com","Other","Purchase","1.00"
12/03/2020,12/04/2020,"AMAZON WEB SERVICES 440 TERRY AVE N AWS.AMAZON.CO98109 WA USA (DISPUTE CREDIT)","Amazon Web Services 440 Terry Ave N Aws.amazon.co98109 Wa Usa (dispute Credit)","Credit","Credit","-80.34"
12/03/2020,12/03/2020,"AMAZON WEB SERVICES 440 TERRY AVE N AWS.AMAZON.CO98109 WA USA","Amazon Web Services","Other","Purchase","80.34"
11/30/2020,12/02/2020,"EXTRA SPACE 1370 2201 CLEMENT AVENUE ALAMEDA 94501 CA USA","Extra Space Storage","Other","Purchase","55.20"
12/01/2020,12/02/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 1111111111 95014 CA USA","Apple Services","Other","Purchase","9.99"
12/02/2020,12/02/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 1111111111 95014 CA USA","Apple Services","Other","Purchase","19.99"
12/01/2020,12/02/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
12/01/2020,12/02/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","9.99"
12/01/2020,12/02/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","54.99"
12/01/2020,12/02/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
11/30/2020,12/01/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
11/30/2020,12/01/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
