Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
07/31/2020,07/31/2020,"HORNBLOWER YACHTS, INCPIER 3 SAN FRANCISCO94111 CA USA","Hornblower Yachts","Other","Purchase","20.00"
07/29/2020,07/30/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
07/28/2020,07/29/2020,"TOKYO FISH MARKET 1220 SAN PABLO AVE. BERKELEY 94706 CA USA","Tokyo Fish Market","Grocery","Purchase","35.26"
07/27/2020,07/28/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
07/18/2020,07/22/2020,"AMAZON.COM*MV9ZI8QZ1 A440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon","Other","Purchase","23.59"
07/18/2020,07/22/2020,"AMAZON.COM*MV5FU6QP1 A440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon","Other","Purchase","29.46"
07/19/2020,07/20/2020,"PAPA JOHN'S #4764 5412 SAN PABLO AVE STE B 510-350-8846 94608 CA USA","Papa John's","Restaurants","Purchase","30.57"
07/10/2020,07/14/2020,"AMZN MKTP US*MV81X1ZN1440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","14.19"
07/13/2020,07/14/2020,"POSTMATES DBFAC MOO BO201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","19.82"
07/12/2020,07/13/2020,"AMAZON MUSIC*MJ79X0KN0440 TERRY AVE N 888-802-3080 98109 WA USA","Amazon Music","Other","Purchase","0.99"
07/11/2020,07/13/2020,"STARBUCKS 2401 UTAH AVE SOUTH 800-782-7282 98134 WA USA","Starbucks","Restaurants","Purchase","25.00"
07/10/2020,07/11/2020,"AMZN MKTP US*MJ2LJ7DB0440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","25.84"
07/10/2020,07/11/2020,"AMAZON.COM*MJ1VW4U11 440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon","Other","Purchase","26.41"
07/09/2020,07/10/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
07/05/2020,07/05/2020,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-1645.08"
07/02/2020,07/03/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
07/02/2020,07/03/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
06/30/2020,07/02/2020,"EXTRA SPACE 1370 2201 CLEMENT AVENUE ALAMEDA 94501 CA USA","Extra Space Storage","Other","Purchase","55.20"
