Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
05/29/2020,05/30/2020,"AMZN MKTP US*M774S0S02440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","6.54"
05/29/2020,05/30/2020,"HWAL A KWANG JANG 730 S WESTERN AVE STE 101 LOS ANGELES 90005 CA USA","Hwal A Kwang Jang","Restaurants","Purchase","109.49"
05/28/2020,05/30/2020,"AMZN MKTP US*M70S18RS0440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","68.81"
05/28/2020,05/30/2020,"THE HOME DEPOT #6673 9700 LOWER AZUSA RD EL MONTE 917310000 CA USA","Home Depot","Other","Purchase","5.48"
05/27/2020,05/29/2020,"AMZN MKTP US*M709E4D62440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","217.52"
05/27/2020,05/29/2020,"CHASE JAYNE 20033 SOMMERVILLE LN COALINGA 93210 CA USA","Chase Jayne","Gas","Purchase","2.79"
05/28/2020,05/28/2020,"H MART - ARCADIA 1101 W . HUNTINGTON DR ARCADIA 91007 CA USA","H Mart","Grocery","Purchase","8.80"
05/27/2020,05/28/2020,"BURGER KING #5792 Q075701 CHRISTIE AVE EMERYVILLE 94608 CA USA","Burger King","Restaurants","Purchase","9.25"
05/27/2020,05/28/2020,"CHEVRON 0378784 550 WAINRIGHT CT LEBEC 93243 CA USA","Chevron","Gas","Purchase","2.09"
05/24/2020,05/24/2020,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-232.79"
05/21/2020,05/22/2020,"TST* JAMBA JUICE - 0431704 OAKLAND RD STE 200 SAN JOSE 95131 CA USA","Jamba Juice","Restaurants","Purchase","13.78"
05/21/2020,05/21/2020,"CVS/PHARMACY #10475 2964 BROADWAY OAKLAND 94611 CA USA","CVS Pharmacy","Other","Purchase","54.61"
05/21/2020,05/21/2020,"H MART - SAN JOSE 1710 OAKLAND RD SAN JOSE 95131 CA USA","H Mart","Grocery","Purchase","122.18"
05/19/2020,05/21/2020,"IN N OUT BURGER 303 555 WILLIE STARGELL AVE ALAMEDA 94501 CA USA","In-N-Out Burger","Restaurants","Purchase","16.30"
05/19/2020,05/20/2020,"LIM*RIDE COST 85 2ND STREETFIRST FLOOR 8885463345 94105 CA USA","Lim*Ride Cost","Entertainment","Purchase","2.99"
05/16/2020,05/18/2020,"POSTMATES DBFAC AZIT 201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","22.93"
