Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
10/31/2020,10/31/2020,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-868.26"
10/29/2020,10/29/2020,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","4.88"
10/29/2020,10/29/2020,"AIRBNB * HMK2NRFSFR 888 BRANNAN ST 4TH FL 415-800-5959 94103 CA USA","Airbnb","Hotels","Purchase","-243.80"
10/25/2020,10/26/2020,"2COCOM*STELLAR 9040 ROSWELL RD 8882471614 30350 GA USA","Stellar","Other","Purchase","69.99"
10/22/2020,10/24/2020,"APPLE.COM/BILL ONE APPLE PARK 1111111111 95014 CA USA","Apple Services","Other","Purchase","9.99"
10/20/2020,10/23/2020,"AVENTRI EVENT REG 7700 EASTPORT PARKWAY 2034039470 06854 CT USA (DISPUTE CREDIT)","Aventri Event Reg 7700 Eastport Parkway 2034039470 06854 Ct Usa (dispute Credit)","Credit","Credit","-70.00"
10/21/2020,10/22/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","14.99"
10/20/2020,10/21/2020,"AVENTRI EVENT REG 7700 EASTPORT PARKWAY 2034039470 06854 CT USA","Aventri Event Reg","Other","Purchase","70.00"
10/19/2020,10/20/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","4.99"
10/19/2020,10/20/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
10/19/2020,10/20/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","24.98"
10/17/2020,10/18/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","14.99"
10/13/2020,10/14/2020,"POSTMATES MEMBERSHIP 201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","9.99"
10/12/2020,10/13/2020,"AMAZON MUSIC*MK76Y4600440 TERRY AVE N 888-802-3080 98109 WA USA","Amazon Music","Other","Purchase","0.99"
10/11/2020,10/12/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","1.99"
10/07/2020,10/08/2020,"APPLE.COM/BILL ONE APPLE PARK 1111111111 95014 CA USA","Apple Services","Other","Purchase","23.49"
10/07/2020,10/07/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
10/06/2020,10/06/2020,"AIRBNB * HMYZW4WSC4 888 BRANNAN ST 4TH FL 415-800-5959 94103 CA USA","Airbnb","Hotels","Purchase","124.48"
10/03/2020,10/05/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","9.99"
10/03/2020,10/05/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","9.99"
10/02/2020,10/03/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","29.97"
10/02/2020,10/03/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
09/30/2020,10/02/2020,"EXTRA SPACE 1370 2201 CLEMENT AVENUE ALAMEDA 94501 CA USA","Extra Space Storage","Other","Purchase","55.20"
09/30/2020,10/01/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
