Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
02/26/2021,02/26/2021,"H MART - SAN JOSE 1710 OAKLAND RD SAN JOSE 95131 CA USA","H Mart","Grocery","Purchase","58.12"
02/24/2021,02/25/2021,"PANDA EXPRESS #2385 151 40TH ST EMERYVILLE 94608 CA USA","Panda Express","Restaurants","Purchase","13.96"
02/23/2021,02/23/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-278.77"
02/23/2021,02/23/2021,"WWW.COURSEHERO.COM 2000 SEAPORT BLVD. 3 FLR 8886349397 94063 CA USA","www.coursehero.com","Other","Purchase","119.40"
02/18/2021,02/20/2021,"EXTRA SPACE 1371 601 CEDAR STREET BERKELEY 94710 CA USA","Extra Space Storage","Other","Purchase","24.00"
02/18/2021,02/19/2021,"KANSAI JAPANESE RESTUR4345 TELEGRAPH AVE OAKLAND 94609 CA USA","Kansai Japanese Restur","Restaurants","Purchase","14.15"
02/14/2021,02/15/2021,"PANDA EXPRESS #2385 151 40TH ST EMERYVILLE 94608 CA USA","Panda Express","Restaurants","Purchase","10.95"
02/12/2021,02/13/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
02/11/2021,02/13/2021,"APPLE.COM/BILL ONE APPLE PARK 1111111111 95014 CA USA","Apple Services","Other","Purchase","30.99"
02/10/2021,02/11/2021,"TOKYO FISH MARKET 1220 SAN PABLO AVE. BERKELEY 94706 CA USA","Tokyo Fish Market","Grocery","Purchase","34.31"
02/10/2021,02/11/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","14.99"
02/08/2021,02/08/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","9.99"
02/02/2021,02/02/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-546.77"
02/01/2021,02/02/2021,"SOUNDCLOUD INC 510 TREAT AVE SAN FRANCISCO94110 CA USA","Soundcloud","Utilities","Purchase","4.99"
01/30/2021,02/01/2021,"GEICO *AUTO ONE GEICO PLAZA 800-841-3000 20076 DC USA","Geico","Insurance","Purchase","335.16"
01/31/2021,02/01/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
01/30/2021,02/01/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
