Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
01/29/2021,01/30/2021,"H MART - SAN JOSE 1710 OAKLAND RD SAN JOSE 95131 CA USA","H Mart","Grocery","Purchase","94.19"
01/29/2021,01/30/2021,"SQ *BAZAK BAZAK RICE H1310 RIDDER PARK DRIVE SAN JOSE 95190 CA USA","Bazak Bazak Rice H","Restaurants","Purchase","4.50"
01/27/2021,01/27/2021,"TRASHWARRIOR.COM 2261 MARKET STREET #4061 4153048171 94114 CA USA","trashwarrior.com","Utilities","Purchase","95.00"
01/25/2021,01/27/2021,"IN N OUT BURGER 303 555 WILLIE STARGELL AVE ALAMEDA 94501 CA USA","In-N-Out Burger","Restaurants","Purchase","10.15"
01/26/2021,01/27/2021,"ELEMENT VAPE 10620 HICKSON ST 3237958168 91731 CA USA","Element Vape","Other","Purchase","89.74"
01/26/2021,01/27/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
12/01/2020,01/26/2021,"GEICO *AUTO ONE GEICO PLAZA 800-841-3000 20076 DC USA (DISPUTE CREDIT)","Geico *auto One Geico Plaza 800-841-3000 20076 Dc Usa (dispute Credit)","Credit","Credit","-366.36"
01/23/2021,01/25/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
01/25/2021,01/25/2021,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","0.80"
01/18/2021,01/20/2021,"EXTRA SPACE 1371 601 CEDAR STREET BERKELEY 94710 CA USA","Extra Space Storage","Other","Purchase","48.00"
01/19/2021,01/20/2021,"SAFEWAY #3125 3889 SAN PABLO AVE EMERYVILLE 94608 CA USA","Safeway","Grocery","Purchase","30.64"
01/16/2021,01/18/2021,"AMAZON.COM*ZP9HI93R3 A440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon","Other","Purchase","131.39"
01/16/2021,01/16/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-403.50"
01/16/2021,01/16/2021,"AMAZON.COM*L365X7913 A440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon","Other","Purchase","18.33"
01/15/2021,01/16/2021,"THE UPS STORE 4589 2340 POWELL ST. EMERYVILLE 94608 CA USA","The UPS Store","Other","Purchase","14.52"
01/16/2021,01/16/2021,"SQ *SEOUL HOTDOG 2505 HEARST AVE. BERKELEY 94709 CA USA","Seoul Hotdog","Restaurants","Purchase","6.54"
01/15/2021,01/16/2021,"FEDEX OFFIC766000076665895 CHRISTIE AVE EMERYVILLE 94608 CA USA","FedEx","Other","Purchase","2.93"
