Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
06/30/2020,07/01/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
06/30/2020,06/30/2020,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-430.77"
06/28/2020,06/29/2020,"POSTMATES DBFAC AZIT 201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","45.86"
06/22/2020,06/23/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
06/18/2020,06/19/2020,"POSTMATES DBFAC KORYO 201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","21.74"
06/17/2020,06/18/2020,"POSTMATES DBFAC MCDONA201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","18.11"
06/15/2020,06/16/2020,"POSTMATES DBFAC HUMPHR201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","20.25"
06/12/2020,06/15/2020,"AMAZON.COM*MY27E89A2 A440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon","Other","Purchase","54.59"
06/13/2020,06/13/2020,"KOREANA PLAZA MARKET O2370 TELEGRAPH AVE OAKLAND 94612 CA USA","Koreana Plaza Market","Grocery","Purchase","93.06"
06/12/2020,06/13/2020,"AMAZON MUSIC*MY9QB26S2440 TERRY AVE N 888-802-3080 98109 WA USA","Amazon Music","Other","Purchase","0.99"
06/10/2020,06/11/2020,"POSTMATES DBFAC HUMPHR201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","22.50"
06/09/2020,06/10/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","17.98"
06/08/2020,06/08/2020,"H MART - SAN JOSE 1710 OAKLAND RD SAN JOSE 95131 CA USA","H Mart","Grocery","Purchase","254.34"
06/05/2020,06/08/2020,"ZOOMY'S SANTA NELLA 12845 STATE HWY 33 SANTA NELLA 95322 CA USA","Zoomy's Santa Nella","Gas","Purchase","42.49"
06/05/2020,06/06/2020,"DOORDASH*JUDOKU SUSHI 901 MARKET STREET, 6TH FL 6506819470 94103 CA USA","DoorDash","Restaurants","Purchase","139.84"
06/04/2020,06/05/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
05/28/2020,06/03/2020,"AMZN MKTP US*MY6NU4JF0440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","85.16"
05/28/2020,06/03/2020,"AMZN MKTP US*MY0X76OW2440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","240.19"
06/01/2020,06/02/2020,"IN N OUT BURGER 303 555 WILLIE STARGELL AVE ALAMEDA 94501 CA USA","In-N-Out Burger","Restaurants","Purchase","14.27"
05/28/2020,06/02/2020,"AMZN MKTP US*M74CT4IP2440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon Marketplace","Other","Purchase","98.31"
05/30/2020,06/01/2020,"BIG AL S 2382 TELEGRAPH AVE BERKELEY 94704 CA USA","Big AL S","Other","Purchase","76.46"
05/30/2020,06/01/2020,"DISCOUNT CIGARETTE 2585 FRUITVALE AVE OAKLAND 94601 CA USA","Discount Cigarette","Grocery","Purchase","76.75"
05/31/2020,06/01/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
05/31/2020,06/01/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
05/29/2020,06/01/2020,"POSTMATES DBFAC BONCHO201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","35.62"
05/30/2020,06/01/2020,"DOORDASH*HUMPHRY SLOCO901 MARKET STREET, 6TH FL 6506819470 94103 CA USA","DoorDash","Restaurants","Purchase","27.24"
05/30/2020,06/01/2020,"EXTRA SPACE 1370 2201 CLEMENT AVENUE ALAMEDA 94501 CA USA","Extra Space Storage","Other","Purchase","79.20"
