Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
03/31/2021,04/01/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
03/30/2021,03/31/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
03/30/2021,03/31/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
03/29/2021,03/29/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-103.67"
03/26/2021,03/29/2021,"EXTRA SPACE 0802 6942 GARDEN GROVE BLVD WESTMINSTER 92683 CA USA","Extra Space Storage","Other","Purchase","78.67"
03/24/2021,03/25/2021,"FASTRAK CSC 375 BEALE ST STE 210. 4154868655 94111 CA USA","FasTrak","Tolls","Purchase","25.00"
03/25/2021,03/25/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-103.63"
03/21/2021,03/22/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","29.99"
03/19/2021,03/20/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
03/18/2021,03/20/2021,"EXTRA SPACE 1371 601 CEDAR STREET BERKELEY 94710 CA USA","Extra Space Storage","Other","Purchase","24.00"
03/19/2021,03/19/2021,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","3.66"
03/13/2021,03/15/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","14.99"
03/14/2021,03/14/2021,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-438.55"
03/11/2021,03/12/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","1.99"
03/11/2021,03/12/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","1.99"
03/11/2021,03/12/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","19.99"
03/07/2021,03/08/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
03/05/2021,03/06/2021,"FASTRAK CSC 375 BEALE ST STE 210. 4154868655 94111 CA USA","FasTrak","Tolls","Purchase","25.00"
03/03/2021,03/03/2021,"SOUNDCLOUD INC 510 TREAT AVE SAN FRANCISCO94110 CA USA","Soundcloud","Utilities","Purchase","4.99"
02/28/2021,03/02/2021,"APPLE.COM/BILL ONE APPLE PARK 1111111111 95014 CA USA","Apple Services","Other","Purchase","12.99"
03/01/2021,03/02/2021,"GEICO *AUTO ONE GEICO PLAZA 800-841-3000 20076 DC USA","Geico","Insurance","Purchase","265.54"
02/28/2021,03/01/2021,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
