Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
11/30/2020,12/01/2020,"GEICO *AUTO ONE GEICO PLAZA 800-841-3000 20076 DC USA","Geico","Insurance","Purchase","366.36"
11/30/2020,11/30/2020,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-49.80"
11/30/2020,11/30/2020,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-220.76"
11/17/2020,11/21/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","17.98"
11/16/2020,11/19/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
11/19/2020,11/19/2020,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","0.20"
10/14/2020,11/19/2020,"POSTMATES MEMBERSHIP 201 3RD STSUITE 200 8778877815 94103 CA USA (DISPUTE CREDIT)","Postmates Membership 201 3rd Stsuite 200 8778877815 94103 Ca Usa (dispute Credit)","Credit","Credit","-9.99"
11/17/2020,11/17/2020,"HOMEOWNERS INSURANCE ONE FEDERAL ST, 4TH FL 8004663748 02110 MA USA","Homeowners Insurance","Insurance","Purchase","160.00"
11/14/2020,11/14/2020,"DAILY CASH ADJUSTMENT","Daily Cash Adjustment","Debit","Debit","0.20"
11/13/2020,11/14/2020,"POSTMATES MEMBERSHIP 201 3RD STSUITE 200 8778877815 94103 CA USA (DISPUTE CREDIT)","Postmates Membership 201 3rd Stsuite 200 8778877815 94103 Ca Usa (dispute Credit)","Credit","Credit","-9.99"
11/13/2020,11/14/2020,"POSTMATES MEMBERSHIP 201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","9.99"
11/10/2020,11/10/2020,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-708.94"
11/06/2020,11/07/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","4.99"
11/06/2020,11/07/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","9.99"
11/06/2020,11/07/2020,"FASTRAK CSC 375 BEALE ST STE 210 4154868655 94111 CA USA","FasTrak","Tolls","Purchase","25.00"
11/05/2020,11/06/2020,"GEICO *AUTO ONE GEICO PLAZA MACON 20076 DC USA","Geico","Insurance","Purchase","366.36"
11/02/2020,11/03/2020,"AIRBNB * HMQHRCJ9XZ 888 BRANNAN ST 4TH FL 415-800-5959 94103 CA USA","Airbnb","Hotels","Purchase","160.54"
11/01/2020,11/02/2020,"UC AWPE FEE 1111 FRANKLIN STREET 1112223333 94607 CA USA","UC Awpe Fee","Other","Purchase","110.00"
10/30/2020,11/02/2020,"EXTRA SPACE 1370 2201 CLEMENT AVENUE ALAMEDA 94501 CA USA","Extra Space Storage","Other","Purchase","55.20"
