Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD)
09/30/2020,10/01/2020,"GEICO *AUTO ONE GEICO PLAZA 800-841-3000 20076 DC USA","Geico","Insurance","Purchase","460.40"
09/30/2020,10/01/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
09/30/2020,09/30/2020,"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 3437","Ach Deposit Internet Transfer From Account Ending In 3437","Payment","Payment","-303.94"
09/20/2020,09/21/2020,"AIRBNB * HM8W85TTD5 888 BRANNAN ST 4TH FL 415-800-5959 94103 CA USA","Airbnb","Hotels","Purchase","153.71"
09/15/2020,09/16/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","17.98"
09/15/2020,09/15/2020,"AIRBNB * HMP5EYNKBB 888 BRANNAN ST 4TH FL 415-800-5959 94103 CA USA","Airbnb","Hotels","Purchase","336.01"
09/13/2020,09/14/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","5.98"
09/13/2020,09/14/2020,"POSTMATES MEMBERSHIP 201 3RD STSUITE 200 8778877815 94103 CA USA","Postmates","Restaurants","Purchase","9.99"
09/12/2020,09/14/2020,"AMAZON MUSIC*MU6XQ9UI2440 TERRY AVE N 888-802-3080 98109 WA USA","Amazon Music","Other","Purchase","0.99"
09/09/2020,09/09/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","12.99"
09/02/2020,09/03/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","30.99"
09/02/2020,09/03/2020,"AMAZON.COM*MU6L67HS1 A440 TERRY AVE N AMZN.COM/BILL98109 WA USA","Amazon","Other","Purchase","21.84"
08/31/2020,09/01/2020,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Apple Services","Other","Purchase","2.99"
08/30/2020,09/01/2020,"EXTRA SPACE 1370 2201 CLEMENT AVENUE ALAMEDA 94501 CA USA","Extra Space Storage","Other","Purchase","55.20"
